0 Iteration 2 3 Val_acc 5 6 Train_loss 8 9 10 11 12 13
Iteration 79000. Val. acc: 0.76, Train loss: 0.41, Val. loss: 1.05
Iteration 80000. Val. acc: 0.74, Train loss: 0.50, Val. loss: 1.16
Iteration 81000. Val. acc: 0.77, Train loss: 0.43, Val. loss: 1.10
Iteration 82000. Val. acc: 0.74, Train loss: 0.57, Val. loss: 1.26
Iteration 83000. Val. acc: 0.76, Train loss: 0.42, Val. loss: 1.12
Iteration 84000. Val. acc: 0.77, Train loss: 0.39, Val. loss: 1.08
Iteration 85000. Val. acc: 0.77, Train loss: 0.38, Val. loss: 1.03
Iteration 86000. Val. acc: 0.76, Train loss: 0.36, Val. loss: 1.04
Iteration 87000. Val. acc: 0.74, Train loss: 0.54, Val. loss: 1.28
Iteration 88000. Val. acc: 0.76, Train loss: 0.40, Val. loss: 1.10
Iteration 89000. Val. acc: 0.77, Train loss: 0.36, Val. loss: 1.05
Iteration 90000. Val. acc: 0.77, Train loss: 0.36, Val. loss: 1.08
Iteration 91000. Val. acc: 0.76, Train loss: 0.39, Val. loss: 1.11
Iteration 92000. Val. acc: 0.76, Train loss: 0.38, Val. loss: 1.13
Iteration 93000. Val. acc: 0.76, Train loss: 0.42, Val. loss: 1.20
Iteration 94000. Val. acc: 0.77, Train loss: 0.43, Val. loss: 1.16
Iteration 95000. Val. acc: 0.77, Train loss: 0.37, Val. loss: 1.09
Iteration 96000. Val. acc: 0.76, Train loss: 0.41, Val. loss: 1.21
Iteration 97000. Val. acc: 0.77, Train loss: 0.34, Val. loss: 1.10
Iteration 98000. Val. acc: 0.76, Train loss: 0.36, Val. loss: 1.11
Iteration 99000. Val. acc: 0.76, Train loss: 0.39, Val. loss: 1.16
Iteration 100000. Val. acc: 0.76, Train loss: 0.46, Val. loss: 1.22
Iteration 101000. Val. acc: 0.77, Train loss: 0.38, Val. loss: 1.17
Iteration 102000. Val. acc: 0.75, Train loss: 0.44, Val. loss: 1.30
Iteration 103000. Val. acc: 0.77, Train loss: 0.37, Val. loss: 1.18
Iteration 104000. Val. acc: 0.77, Train loss: 0.35, Val. loss: 1.12
Iteration 105000. Val. acc: 0.77, Train loss: 0.36, Val. loss: 1.20
Iteration 106000. Val. acc: 0.76, Train loss: 0.38, Val. loss: 1.17
Iteration 107000. Val. acc: 0.76, Train loss: 0.36, Val. loss: 1.16
Iteration 108000. Val. acc: 0.77, Train loss: 0.34, Val. loss: 1.17
Iteration 109000. Val. acc: 0.77, Train loss: 0.35, Val. loss: 1.15
Iteration 110000. Val. acc: 0.77, Train loss: 0.35, Val. loss: 1.19
Iteration 111000. Val. acc: 0.76, Train loss: 0.36, Val. loss: 1.24
Iteration 112000. Val. acc: 0.77, Train loss: 0.35, Val. loss: 1.20
Iteration 113000. Val. acc: 0.77, Train loss: 0.33, Val. loss: 1.19
Iteration 114000. Val. acc: 0.73, Train loss: 0.73, Val. loss: 1.67
Iteration 115000. Val. acc: 0.77, Train loss: 0.33, Val. loss: 1.17
Iteration 116000. Val. acc: 0.76, Train loss: 0.37, Val. loss: 1.28
Iteration 117000. Val. acc: 0.77, Train loss: 0.32, Val. loss: 1.18
Iteration 118000. Val. acc: 0.74, Train loss: 0.49, Val. loss: 1.38
Iteration 119000. Val. acc: 0.77, Train loss: 0.33, Val. loss: 1.20
Iteration 120000. Val. acc: 0.78, Train loss: 0.33, Val. loss: 1.21
Iteration 121000. Val. acc: 0.77, Train loss: 0.30, Val. loss: 1.20
Iteration 122000. Val. acc: 0.77, Train loss: 0.31, Val. loss: 1.18
Iteration 123000. Val. acc: 0.76, Train loss: 0.36, Val. loss: 1.29
Iteration 124000. Val. acc: 0.77, Train loss: 0.34, Val. loss: 1.23
Iteration 125000. Val. acc: 0.77, Train loss: 0.31, Val. loss: 1.19
Iteration 126000. Val. acc: 0.76, Train loss: 0.38, Val. loss: 1.31
Iteration 127000. Val. acc: 0.77, Train loss: 0.31, Val. loss: 1.22
Iteration 128000. Val. acc: 0.77, Train loss: 0.33, Val. loss: 1.25
Iteration 129000. Val. acc: 0.76, Train loss: 0.35, Val. loss: 1.28
Iteration 130000. Val. acc: 0.76, Train loss: 0.41, Val. loss: 1.38
Iteration 131000. Val. acc: 0.77, Train loss: 0.34, Val. loss: 1.25
Iteration 132000. Val. acc: 0.76, Train loss: 0.34, Val. loss: 1.30
Iteration 133000. Val. acc: 0.77, Train loss: 0.33, Val. loss: 1.26
Iteration 134000. Val. acc: 0.76, Train loss: 0.35, Val. loss: 1.33
Iteration 135000. Val. acc: 0.76, Train loss: 0.36, Val. loss: 1.36
Iteration 136000. Val. acc: 0.77, Train loss: 0.29, Val. loss: 1.22
Iteration 137000. Val. acc: 0.75, Train loss: 0.40, Val. loss: 1.41
Iteration 138000. Val. acc: 0.77, Train loss: 0.30, Val. loss: 1.26
Iteration 139000. Val. acc: 0.75, Train loss: 0.46, Val. loss: 1.50
Iteration 140000. Val. acc: 0.77, Train loss: 0.31, Val. loss: 1.27
Iteration 141000. Val. acc: 0.77, Train loss: 0.32, Val. loss: 1.30
Iteration 142000. Val. acc: 0.77, Train loss: 0.30, Val. loss: 1.24
Iteration 143000. Val. acc: 0.76, Train loss: 0.32, Val. loss: 1.34
Iteration 144000. Val. acc: 0.76, Train loss: 0.30, Val. loss: 1.30
Iteration 145000. Val. acc: 0.75, Train loss: 0.41, Val. loss: 1.41
Iteration 146000. Val. acc: 0.76, Train loss: 0.33, Val. loss: 1.32
Iteration 147000. Val. acc: 0.76, Train loss: 0.32, Val. loss: 1.35
Iteration 148000. Val. acc: 0.76, Train loss: 0.32, Val. loss: 1.34
Iteration 149000. Val. acc: 0.76, Train loss: 0.34, Val. loss: 1.32
